code                                         ,year   ,host                          ,season   ,edition       ,motto                                                                                                                                                             ,num_athletes ,start_date                           ,end_date                             ,page_name
"2014_sochi_olympics"                        ,"2014" ,"Sochi"                       ,"winter" ,"olympics"    ,"Hot. Cool. Yours.(Russian: Жаркие. Зимние. Твои., Zharkie. Zimnie. Tvoi)"                                                                                        ,"2873"       ,"2014-03-07"                         ,"2014-03-23"                         ,"2014_Winter_Olympics"
"2018_pyeongchang_olympics"                  ,"2018" ,"PyeongChang"                 ,"winter" ,"olympics"    ,"Passion. Connected.(Korean: 하나된 열정; Hanadoen Yeoljeong)"                                                                                                    ,"2922"       ,"2018-03-09"                         ,"2018-03-25"                         ,"2018_Winter_Olympics"
"2022_beijing_olympics"                      ,"2022" ,"Beijing"                     ,"winter" ,"olympics"    ,"Together for a Shared Future(一起向未来; Yīqǐ xiàng wèilái)"                                                                                                     ,"2871"       ,"2022-03-04"                         ,"2022-03-20"                         ,"2022_Winter_Olympics"
"2026_milano+cortina_olympics"               ,"2026" ,"Milano / Cortina"            ,"winter" ,"olympics"    ,"Sognando insieme (English: Dreaming together)"                                                                                                                   ,""           ,"2026-02-06"                         ,"2026-03-22"                         ,"2026_Winter_Olympics"
"2030_french-alps_olympics"                  ,"2030" ,"French Alps"                 ,"winter" ,"olympics"    ,""                                                                                                                                                                ,""           ,"2030-02-01"                         ,"2030-03-17"                         ,"2030_Winter_Olympics"
"2034_salt-lake-city=utah_olympics"          ,"2034" ,"Salt Lake City–Utah"         ,"winter" ,"olympics"    ,""                                                                                                                                                                ,""           ,"2034-03-10"                         ,"2034-03-26"                         ,"2034_Winter_Olympics"
"2010_singapore_youth"                       ,"2010" ,"Singapore"                   ,"summer" ,"youth"       ,"Blazing the Trail"                                                                                                                                               ,"3524"       ,"2010-09-14"                         ,"2010-09-26"                         ,"2010_Summer_Youth_Olympics"
"2014_nanjing_youth"                         ,"2014" ,"Nanjing"                     ,"summer" ,"youth"       ,"Share the Games, Share our dreams(Chinese: 分享青春, 共筑未来; pinyin: Fēnxiǎng qīngchūn, gòng zhù wèilái; lit. 'Share our youth', 'build our future together')" ,"3579"       ,"2014-09-16"                         ,"2014-09-28"                         ,"2014_Summer_Youth_Olympics"
"2018_buenos-aires_youth"                    ,"2018" ,"Buenos Aires"                ,"summer" ,"youth"       ,"Feel the future(Spanish: Viví el futuro)"                                                                                                                        ,"3997"       ,"2018-11-06"                         ,"2018-11-18"                         ,"2018_Summer_Youth_Olympics"
"2026_dakar_youth"                           ,"2026" ,"Dakar"                       ,"summer" ,"youth"       ,"Africa welcomes, Dakar celebrates  (French: L'Afrique acceuille, Dakar célèbre)  (Wolof: Afrig dalal, Ndakaaru jëmël)"                                           ,"4564"       ,"2026-12-01"                         ,"2026-12-13"                         ,"2026_Summer_Youth_Olympics"
"2012_innsbruck_youth"                       ,"2012" ,"Innsbruck"                   ,"winter" ,"youth"       ,"Be part of it(German: Teil sein ist alles)"                                                                                                                      ,"1059"       ,"2012-02-13"                         ,"2012-02-22"                         ,"2012_Winter_Youth_Olympics"
