"code" ,"name"                                ,"flag"                                                                                                                                 ,"status"
"VIN"  ,"Saint Vincent and the Grenadines"    ,"https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Saint_Vincent_and_the_Grenadines.svg"                                     ,"active"
"SAM"  ,"Samoa"                               ,"https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Samoa.svg"                                                                ,"active"
"SMR"  ,"San Marino"                          ,"https://upload.wikimedia.org/wikipedia/commons/b/b1/Flag_of_San_Marino.svg"                                                           ,"active"
"KSA"  ,"Saudi Arabia"                        ,"https://upload.wikimedia.org/wikipedia/commons/0/0d/Flag_of_Saudi_Arabia.svg"                                                         ,"active"
"SEN"  ,"Senegal"                             ,"https://upload.wikimedia.org/wikipedia/commons/f/fd/Flag_of_Senegal.svg"                                                              ,"active"
"SRB"  ,"Serbia"                              ,"https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg"                                                               ,"active"
"SEY"  ,"Seychelles"                          ,"https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Seychelles.svg"                                                           ,"active"
"SLE"  ,"Sierra Leone"                        ,"https://upload.wikimedia.org/wikipedia/commons/1/17/Flag_of_Sierra_Leone.svg"                                                         ,"active"
"SGP"  ,"Singapore"                           ,"https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Singapore.svg"                                                            ,"active"
"SVK"  ,"Slovakia"                            ,"https://upload.wikimedia.org/wikipedia/commons/e/e6/Flag_of_Slovakia.svg"                                                             ,"active"
"SLO"  ,"Slovenia"                            ,"https://upload.wikimedia.org/wikipedia/commons/f/f0/Flag_of_Slovenia.svg"                                                             ,"active"
"SOL"  ,"Solomon Islands"                     ,"https://upload.wikimedia.org/wikipedia/commons/7/74/Flag_of_the_Solomon_Islands.svg"                                                  ,"active"
"SOM"  ,"Somalia"                             ,"https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Somalia.svg"                                                              ,"active"
"RSA"  ,"South Africa"                        ,"https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg"                                                         ,"active"
"KOR"  ,"South Korea"                         ,"https://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg"                                                          ,"active"
"SSD"  ,"South Sudan"                         ,"https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg"                                                          ,"active"
"ESP"  ,"Spain"                               ,"https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/320px-Flag_of_Spain.svg.png"                                   ,"active"
"SRI"  ,"Sri Lanka"                           ,"https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg"                                                            ,"active"
"SUD"  ,"Sudan"                               ,"https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg"                                                                ,"active"
"SUR"  ,"Suriname"                            ,"https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg"                                                             ,"active"
"SWE"  ,"Sweden"                              ,"https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Flag_of_Sweden.svg/320px-Flag_of_Sweden.svg.png"                                 ,"active"
"SUI"  ,"Switzerland"                         ,"https://upload.wikimedia.org/wikipedia/commons/f/f3/Flag_of_Switzerland.svg"                                                          ,"active"
"SYR"  ,"Syria"                               ,"https://upload.wikimedia.org/wikipedia/commons/5/53/Flag_of_Syria.svg"                                                                ,"active"
"STP"  ,"São Tomé and Príncipe"               ,"https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Sao_Tome_and_Principe.svg"                                                ,"active"
"TJK"  ,"Tajikistan"                          ,"https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg"                                                           ,"active"
"TAN"  ,"Tanzania"                            ,"https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tanzania.svg"                                                             ,"active"
"THA"  ,"Thailand"                            ,"https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg"                                                             ,"active"
"GAM"  ,"The Gambia"                          ,"https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_The_Gambia.svg"                                                           ,"active"
"TLS"  ,"Timor-Leste"                         ,"https://upload.wikimedia.org/wikipedia/commons/2/26/Flag_of_East_Timor.svg"                                                           ,"active"
"TOG"  ,"Togo"                                ,"https://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg"                                                                 ,"active"
"TGA"  ,"Tonga"                               ,"https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg"                                                                ,"active"
"TTO"  ,"Trinidad and Tobago"                 ,"https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg"                                                  ,"active"
"TUN"  ,"Tunisia"                             ,"https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg"                                                              ,"active"
"TUR"  ,"Turkey"                              ,"https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg"                                                               ,"active"
"TKM"  ,"Turkmenistan"                        ,"https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg"                                                         ,"active"
"TUV"  ,"Tuvalu"                              ,"https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg"                                                               ,"active"
"UGA"  ,"Uganda"                              ,"https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg"                                                               ,"active"
"UKR"  ,"Ukraine"                             ,"https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg"                                                              ,"active"
"UAE"  ,"United Arab Emirates"                ,"https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg"                                             ,"active"
"USA"  ,"United States"                       ,"https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/320px-Flag_of_the_United_States.svg.png"           ,"active"
"URU"  ,"Uruguay"                             ,"https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg"                                                              ,"active"
"UZB"  ,"Uzbekistan"                          ,"https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg"                                                           ,"active"
"VAN"  ,"Vanuatu"                             ,"https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg"                                                              ,"active"
"VEN"  ,"Venezuela"                           ,"https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Venezuela.svg"                                                            ,"active"
"VIE"  ,"Vietnam"                             ,"https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg"                                                              ,"active"
"ISV"  ,"Virgin Islands"                      ,"https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_the_United_States_Virgin_Islands.svg"                                     ,"active"
"YEM"  ,"Yemen"                               ,"https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg"                                                                ,"active"
"ZAM"  ,"Zambia"                              ,"https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg"                                                               ,"active"
"ZIM"  ,"Zimbabwe"                            ,"https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg"                                                             ,"active"
"IOC"  ,"Athletes from Kuwait"                ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"HNL"  ,"Haudenosaunee"                       ,"https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_the_Iroquois_Confederacy.svg"                                             ,"special"
"IOA"  ,"Independent Olympic Athletes"        ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"IPA"  ,"Independent Paralympic Athletes"     ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"IPP"  ,"Independent Paralympic Participants" ,"https://upload.wikimedia.org/wikipedia/commons/f/f8/Paralympic_flag_%281988-1994%29.svg"                                              ,"special"
"IOP"  ,"Independent Olympic Participants"    ,"https://upload.wikimedia.org/wikipedia/commons/a/a7/Olympic_flag.svg"                                                                 ,"special"
"AIN"  ,"Individual Neutral Athletes"         ,"https://upload.wikimedia.org/wikipedia/commons/0/0c/Flag_of_the_Individual_Neutral_Athletes_at_the_2024_Summer_Olympics.svg"          ,"special"
