game,sport,code,"event",gold,silver,bronze
tokyo-2020,boxing,BOX,"Men's Fly (48-52kg)",GBR,PHI,KAZ+JPN
tokyo-2020,boxing,BOX,"Men's Heavy (81-91kg)",CUB,ROC,BRA+NZL
tokyo-2020,boxing,BOX,"Men's Light (57-63kg)",CUB,USA,AUS+ARM
tokyo-2020,boxing,BOX,"Men's Light Heavy (75-81kg)",CUB,GBR,AZE+ROC
tokyo-2020,boxing,BOX,"Men's Middle (69-75kg)",BRA,UKR,ROC+PHI
tokyo-2020,boxing,BOX,"Men's Super Heavy (+91kg)",UZB,USA,GBR+KAZ
tokyo-2020,boxing,BOX,"Men's Welter (63-69kg)",CUB,GBR,ROC+IRL
tokyo-2020,boxing,BOX,"Women's Feather (54-57kg)",JPN,PHI,GBR+ITA
tokyo-2020,boxing,BOX,"Women's Fly (48-51kg)",BUL,TUR,JPN+TPE
tokyo-2020,boxing,BOX,"Women's Light (57-60kg)",IRL,BRA,THA+FIN
tokyo-2020,boxing,BOX,"Women's Middle (69-75kg)",GBR,CHN,NED+ROC
tokyo-2020,boxing,BOX,"Women's Welter (64-69kg)",TUR,CHN,IND+USA
tokyo-2020,canoe-slalom,CSL,"Men's Canoe",SLO,CZE,GER
tokyo-2020,canoe-slalom,CSL,"Men's Kayak",CZE,SVK,GER
tokyo-2020,canoe-slalom,CSL,"Women's Canoe",AUS,GBR,GER
tokyo-2020,canoe-slalom,CSL,"Women's Kayak",GER,ESP,AUS
tokyo-2020,canoe-sprint,CSP,"Men's Canoe Double 1000m",CUB,CHN,GER
tokyo-2020,canoe-sprint,CSP,"Men's Canoe Single 1000m",BRA,CHN,MDA
tokyo-2020,canoe-sprint,CSP,"Men's Kayak Double 1000m",AUS,GER,CZE
tokyo-2020,canoe-sprint,CSP,"Men's Kayak Four 500m",GER,ESP,SVK
tokyo-2020,canoe-sprint,CSP,"Men's Kayak Single 1000m",HUN,HUN,POR
tokyo-2020,canoe-sprint,CSP,"Men's Kayak Single 200m",HUN,ITA,GBR
tokyo-2020,canoe-sprint,CSP,"Women's Canoe Double 500m",CHN,UKR,CAN
tokyo-2020,canoe-sprint,CSP,"Women's Canoe Single 200m",USA,CAN,UKR
tokyo-2020,canoe-sprint,CSP,"Women's Kayak Double 500m",NZL,POL,HUN
tokyo-2020,canoe-sprint,CSP,"Women's Kayak Four 500m",HUN,BLR,POL
tokyo-2020,canoe-sprint,CSP,"Women's Kayak Single 200m",NZL,ESP,DEN
tokyo-2020,canoe-sprint,CSP,"Women's Kayak Single 500m",NZL,HUN,DEN
tokyo-2020,cycling-bmx-freestyle,BMF,"Men's Park",AUS,VEN,GBR
tokyo-2020,cycling-bmx-freestyle,BMF,"Women's Park",GBR,USA,SUI
tokyo-2020,cycling-bmx-racing,BMX,"Men",NED,GBR,COL
tokyo-2020,cycling-bmx-racing,BMX,"Women",GBR,COL,NED
tokyo-2020,cycling-mountain-bike,MTB,"Men's Cross-country",GBR,SUI,ESP
tokyo-2020,cycling-mountain-bike,MTB,"Women's Cross-country",SUI,SUI,SUI
tokyo-2020,cycling-road,CRD,"Men's Individual Time Trial",SLO,NED,AUS
tokyo-2020,cycling-road,CRD,"Men's Road Race",ECU,BEL,SLO
tokyo-2020,cycling-road,CRD,"Women's Individual Time Trial",NED,SUI,NED
tokyo-2020,cycling-road,CRD,"Women's Road Race",AUT,NED,ITA
